Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression_TS,Chrome 128.0.0.0,,,01-09-2024 22:18:37,01-09-2024 22:20:21,1m - 43.495s,PASSED
,,,,,,,
Test Cases/OrderPlacement,Chrome 128.0.0.0,,,01-09-2024 22:18:38,01-09-2024 22:19:32,53.846s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,01-09-2024 22:18:38,01-09-2024 22:18:41,2.482s,PASSED
navigateToUrl(AppUrl),Chrome 128.0.0.0,,,01-09-2024 22:18:41,01-09-2024 22:18:45,4.128s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,01-09-2024 22:18:45,01-09-2024 22:18:45,0.123s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Home Page/a_Sign In""))",Chrome 128.0.0.0,,,01-09-2024 22:18:45,01-09-2024 22:18:47,1.968s,PASSED
"setText(findTestObject(""Object Repository/Ecomm/Page_Customer Login/input_Email_loginusername""), Username)",Chrome 128.0.0.0,,,01-09-2024 22:18:47,01-09-2024 22:18:48,1.253s,PASSED
"setText(findTestObject(""Object Repository/Ecomm/Page_Customer Login/input_Password_loginpassword""), Password)",Chrome 128.0.0.0,,,01-09-2024 22:18:48,01-09-2024 22:18:50,1.635s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Customer Login/span_Sign In""))",Chrome 128.0.0.0,,,01-09-2024 22:18:50,01-09-2024 22:18:52,2.438s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Home Page/span_Shorts_ui-menu-icon ui-icon ui-icon-carat-1-e""))",Chrome 128.0.0.0,,,01-09-2024 22:18:52,01-09-2024 22:18:55,2.844s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Men/a_Jackets""))",Chrome 128.0.0.0,,,01-09-2024 22:18:55,01-09-2024 22:18:57,2.169s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Jackets - Tops - Men/a_Montana Wind Jacket""))",Chrome 128.0.0.0,,,01-09-2024 22:18:57,01-09-2024 22:18:59,1.733s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Montana Wind Jacket/div_L""))",Chrome 128.0.0.0,,,01-09-2024 22:18:59,01-09-2024 22:19:05,5.354s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Montana Wind Jacket/div_Color_option-label-color-93-item-53""))",Chrome 128.0.0.0,,,01-09-2024 22:19:05,01-09-2024 22:19:05,0.518s,PASSED
