Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 128.0.0.0,,,02-09-2024 19:34:25,02-09-2024 19:34:27,1.184s,PASSED
navigateToUrl(AppUrl),Chrome 128.0.0.0,,,02-09-2024 19:34:27,02-09-2024 19:34:30,3.090s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,02-09-2024 19:34:30,02-09-2024 19:34:30,0.062s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Home Page/a_Sign In""))",Chrome 128.0.0.0,,,02-09-2024 19:34:30,02-09-2024 19:34:32,2.537s,PASSED
"setText(findTestObject(""Object Repository/Ecomm/Page_Customer Login/input_Email_loginusername""), Username)",Chrome 128.0.0.0,,,02-09-2024 19:34:32,02-09-2024 19:34:33,0.976s,PASSED
"setText(findTestObject(""Object Repository/Ecomm/Page_Customer Login/input_Password_loginpassword""), Password)",Chrome 128.0.0.0,,,02-09-2024 19:34:33,02-09-2024 19:34:34,0.657s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Customer Login/span_Sign In""))",Chrome 128.0.0.0,,,02-09-2024 19:34:34,02-09-2024 19:34:36,2.118s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Home Page/span_Shorts_ui-menu-icon ui-icon ui-icon-carat-1-e""))",Chrome 128.0.0.0,,,02-09-2024 19:34:36,02-09-2024 19:34:39,2.926s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Men/a_Jackets""))",Chrome 128.0.0.0,,,02-09-2024 19:34:39,02-09-2024 19:34:41,1.813s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Jackets - Tops - Men/a_Montana Wind Jacket""))",Chrome 128.0.0.0,,,02-09-2024 19:34:41,02-09-2024 19:34:43,2.235s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Montana Wind Jacket/div_L""))",Chrome 128.0.0.0,,,02-09-2024 19:34:43,02-09-2024 19:34:44,0.974s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Montana Wind Jacket/div_Color_option-label-color-93-item-53""))",Chrome 128.0.0.0,,,02-09-2024 19:34:44,02-09-2024 19:34:45,0.775s,PASSED
"setText(findTestObject(""Object Repository/Ecomm/Page_Montana Wind Jacket/input_Qty_qty""), quantity)",Chrome 128.0.0.0,,,02-09-2024 19:34:45,02-09-2024 19:34:46,0.889s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Montana Wind Jacket/span_Add to Cart""))",Chrome 128.0.0.0,,,02-09-2024 19:34:46,02-09-2024 19:34:46,0.356s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Montana Wind Jacket/span_4""))",Chrome 128.0.0.0,,,02-09-2024 19:34:46,02-09-2024 19:34:50,3.939s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Montana Wind Jacket/button_Proceed to Checkout""))",Chrome 128.0.0.0,,,02-09-2024 19:34:50,02-09-2024 19:34:53,2.939s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Checkout/input_Best Way_ko_unique_4""))",Chrome 128.0.0.0,,,02-09-2024 19:34:53,02-09-2024 19:34:55,1.948s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Checkout/span_Next""))",Chrome 128.0.0.0,,,02-09-2024 19:34:55,02-09-2024 19:34:55,0.291s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Checkout/span_Place Order""))",Chrome 128.0.0.0,,,02-09-2024 19:34:55,02-09-2024 19:34:59,3.654s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Ecomm/Page_Success Page/span_ThanksForOrder""), 5)",Chrome 128.0.0.0,,,02-09-2024 19:34:59,02-09-2024 19:35:05,6.186s,PASSED
"strOrderNumber = getText(findTestObject(""Object Repository/Ecomm/Page_Success Page/strong_OrderNumber""))",Chrome 128.0.0.0,,,02-09-2024 19:35:05,02-09-2024 19:35:05,0.257s,PASSED
"logInfo(""Order Number: "" + strOrderNumber)",Chrome 128.0.0.0,,,02-09-2024 19:35:05,02-09-2024 19:35:05,0.000s,PASSED
takeScreenshot(),Chrome 128.0.0.0,,,02-09-2024 19:35:05,02-09-2024 19:35:05,0.321s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Success Page/strong_OrderNumber""))",Chrome 128.0.0.0,,,02-09-2024 19:35:05,02-09-2024 19:35:07,1.744s,PASSED
"markPassed(""Test Passed"")",Chrome 128.0.0.0,,,02-09-2024 19:35:07,02-09-2024 19:35:07,0.001s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,02-09-2024 19:35:07,02-09-2024 19:35:07,0.193s,PASSED
